CategorySub,Hierarchy.Level
601,4
612,4
602,4
613,4
614,4
610,4
607,4
603,4
611,4
606,4
609,4
549,3
577,3
597,3
555,3
592,3
583,3
564,3
554,3
586,3
551,3
598,3
584,3
539,3
559,3
541,3
547,3
567,3
580,3
560,3
574,3
589,3
561,3
565,3
552,3
572,3
594,3
546,3
578,3
581,3
570,3
587,3
543,3
575,3
558,3
545,3
600,3
604,3
605,3
608,3
615,3
596,3
579,3
568,3
590,3
563,3
571,3
556,3
540,3
593,3
544,3
550,3
538,2
542,2
548,2
553,2
557,2
562,2
566,2
569,2
573,2
595,2
576,2
582,2
585,2
599,2
588,2
591,2
537,1
529,3
530,3
531,3
535,3
536,3
532,3
533,3
528,2
534,2
527,1
52,4
50,4
29,4
33,4
28,4
46,4
31,4
32,4
45,4
48,4
53,4
56,4
55,4
49,4
36,3
43,3
27,3
44,3
30,3
34,3
37,3
47,3
40,3
41,3
38,3
51,3
54,3
26,2
35,2
39,2
42,2
25,1
524,3
520,3
521,3
526,3
522,3
525,3
519,2
523,2
518,1
186,4
185,4
205,4
196,4
231,4
197,4
188,4
245,4
192,4
212,4
225,4
241,4
213,4
242,4
216,4
211,4
230,4
219,4
204,4
199,4
236,4
235,4
223,4
227,4
195,4
239,4
215,4
229,4
232,4
201,4
221,4
209,4
207,4
226,4
222,4
202,4
193,4
218,4
189,4
191,4
246,4
238,4
208,4
244,4
198,4
184,3
234,3
187,3
248,3
249,3
190,3
194,3
200,3
203,3
206,3
210,3
214,3
250,3
237,3
240,3
217,3
220,3
224,3
228,3
243,3
233,2
183,2
247,2
182,1
649,3
642,3
651,3
646,3
656,3
641,3
644,3
660,3
645,3
647,3
658,3
661,3
640,3
650,3
653,3
654,3
657,3
639,2
643,2
648,2
652,2
655,2
659,2
638,1
459,4
427,4
435,4
441,4
415,4
418,4
460,4
456,4
440,4
422,4
414,4
452,4
442,4
416,4
446,4
420,4
444,4
449,4
461,4
457,4
434,4
430,4
462,4
428,4
424,4
431,4
454,4
463,4
437,4
419,4
451,4
411,4
450,4
439,4
423,4
453,4
412,4
436,4
426,4
445,4
410,3
448,3
433,3
413,3
417,3
421,3
425,3
438,3
455,3
429,3
458,3
443,3
432,2
409,2
447,2
408,1
710,3
706,3
711,3
704,3
707,3
709,3
705,3
703,2
708,2
702,1
1,0
95,4
62,4
89,4
152,4
127,4
179,4
120,4
167,4
90,4
128,4
123,4
126,4
92,4
129,4
97,4
166,4
91,4
61,4
80,4
66,4
68,4
133,4
108,4
78,4
106,4
135,4
81,4
169,4
155,4
63,4
60,4
76,4
119,4
100,4
96,4
102,4
114,4
118,4
115,4
150,4
65,4
162,4
69,4
172,4
83,4
116,4
136,4
110,4
103,4
98,4
131,4
142,4
181,4
146,4
70,4
153,4
163,4
156,4
72,4
175,4
170,4
82,4
77,4
140,4
141,4
139,4
138,4
85,4
111,4
94,4
158,4
73,4
74,4
174,4
145,4
144,4
177,4
134,4
109,4
101,4
113,4
130,4
86,4
122,4
159,4
105,4
149,4
178,4
171,4
180,4
59,3
88,3
93,3
99,3
125,3
104,3
148,3
165,3
168,3
64,3
151,3
107,3
132,3
154,3
67,3
112,3
71,3
75,3
79,3
84,3
137,3
173,3
143,3
157,3
117,3
121,3
160,3
161,3
176,3
58,2
87,2
124,2
147,2
164,2
57,1
375,4
342,4
406,4
369,4
389,4
358,4
345,4
401,4
388,4
359,4
392,4
343,4
346,4
377,4
405,4
367,4
402,4
354,4
350,4
348,4
403,4
347,4
384,4
385,4
381,4
391,4
387,4
362,4
353,4
378,4
365,4
360,4
382,4
398,4
364,4
395,4
355,4
370,4
380,4
396,4
357,4
368,4
397,4
407,4
376,4
400,4
351,4
371,4
393,4
363,4
374,3
341,3
344,3
349,3
352,3
356,3
379,3
386,3
390,3
383,3
394,3
399,3
361,3
366,3
372,3
404,3
340,2
373,2
339,1
688,4
685,4
689,4
695,4
666,4
669,4
675,4
677,4
668,4
676,4
693,4
700,4
694,4
686,4
697,4
670,4
690,4
673,4
701,4
672,4
683,4
699,4
698,4
682,4
665,4
687,3
679,3
664,3
667,3
692,3
680,3
691,3
681,3
671,3
696,3
684,3
674,3
663,2
678,2
662,1
260,4
317,4
280,4
295,4
256,4
290,4
311,4
337,4
306,4
324,4
299,4
297,4
276,4
279,4
257,4
289,4
318,4
321,4
313,4
283,4
264,4
267,4
286,4
315,4
261,4
269,4
309,4
275,4
312,4
328,4
258,4
308,4
314,4
287,4
291,4
325,4
296,4
265,4
338,4
272,4
319,4
255,4
329,4
282,4
330,4
332,4
305,4
285,4
293,4
254,4
334,4
327,4
274,4
322,4
302,4
278,4
333,4
300,4
271,4
301,4
307,4
336,4
294,4
323,4
270,4
268,4
263,3
266,3
304,3
273,3
277,3
310,3
253,3
316,3
281,3
284,3
320,3
326,3
288,3
259,3
292,3
331,3
298,3
335,3
303,2
252,2
262,2
251,1
20,4
17,4
18,4
24,4
21,4
22,4
23,4
4,3
5,3
6,3
10,3
11,3
13,3
7,3
16,3
8,3
19,3
14,3
3,2
9,2
12,2
15,2
2,1
619,4
623,4
625,4
620,4
629,4
626,4
628,4
622,4
632,3
637,3
636,3
634,3
633,3
631,3
618,3
621,3
627,3
624,3
630,2
617,2
635,2
616,1
726,3
724,3
715,3
727,3
728,3
730,3
722,3
716,3
729,3
714,3
719,3
718,3
731,3
721,3
723,3
717,3
713,2
720,2
725,2
712,1
494,4
497,4
512,4
505,4
516,4
498,4
499,4
495,4
502,4
506,4
513,4
514,4
509,4
503,4
507,4
517,4
510,4
501,3
488,3
489,3
493,3
504,3
490,3
496,3
508,3
511,3
491,3
515,3
487,2
492,2
500,2
486,1
466,3
467,3
476,3
477,3
481,3
484,3
471,3
470,3
475,3
482,3
478,3
473,3
485,3
480,3
468,3
472,3
465,2
469,2
474,2
479,2
483,2
464,1
